菜鸟网络Java实习生（2022年毕业）,菜鸟网络,https://www.nowcoder.com/intern/47952?jobIds=49802&ncsr=,¥250-300元/天,北京 上海 广州 深圳 杭州 南京 成都 厦门 武汉 西安 长沙 哈尔滨 合肥 长春 其他,简历处理率：93%,平均处理：1天,处理快,研发,薪资：250-300元/天  |  实习要求：5天/周，2个月以上  |  转正机会：有, 岗位职责 菜鸟国际物流技术团队主要为阿里巴巴速卖通，天猫海外、天猫国际、考拉海购、Lazada等进口和出口业务提供跨境物流解决方案。 加入团队的工作：国际化、供应链规划、大数据计算、调度协同等。 我们的使命是在国际关系日益复杂的时代背景下，实现72小时全球达。  职位描述 1. 深入理解国际供应链业务，参与需求分析、架构设计、核心代码开发； 2. 发现和解决用户痛点、性能瓶颈等技术难题； 3. 对未来技术架构进行前瞻性的规划设计； 4. 面试通过后6月前后入职，9月转正答辩，转正率极高。 ,Null,
字节教育部门后端实习招聘,字节跳动,https://www.nowcoder.com/intern/39042?jobIds=36870&ncsr=,¥400-500元/天,北京 上海 广州 深圳 杭州 南京 成都 厦门 武汉 西安 长沙 哈尔滨 合肥 长春 其他,简历处理率：99%,平均处理：1天,处理快,研发,薪资：400-500元/天  |  实习要求：4天/周，3个月以上  |  转正机会：有, 岗位职责 1、负责公司教育业务产品的研发，为用户提供优质顺畅的信息服务和极致体验； 2、参与设计系统技术方案、核心代码开发和系统调优； 3、参与制定代码规范、测试规范，保证开发质量控制； 4、协助团队攻克各种高并发、数据隔离、系统解耦等方面的技术难关； 5、参与各专项技术调研、新技术引入等前瞻项目； 6、参与机器学习与异构计算系统研发。 内推码：PXJPD35 ,Null,
字节跳动后端开发招聘,字节跳动,https://www.nowcoder.com/intern/39042?jobIds=41758&ncsr=,¥400-500元/天,北京 上海 广州 深圳 杭州 南京 成都 厦门 武汉 西安 长沙 哈尔滨 合肥 长春 其他,简历处理率：99%,平均处理：1天,处理快,研发,薪资：400-500元/天  |  实习要求：3天/周，3个月以上  |  转正机会：有, 岗位职责 职位描述 1、参与字节跳动商业广告产品后台服务的设计、开发、优化等研发工作，保证产品的质量和开发进度； 2、和产品等团队合作，确保前后端模块的协同工作； 3、参与研究新兴技术，对产品进行持续优化。 ,Null,
c/c++开发实习生,涂鸦智能,https://www.nowcoder.com/intern/49168?jobIds=48416&ncsr=,¥薪酬面议,杭州,简历处理率：86%,平均处理：1天,处理快,研发,薪酬：面议  |  实习要求：5天/周，3个月以上  |  转正机会：有, 岗位职责 岗位职责： 1. 负责设备接入网关或移动端音视频开发工作； 2. 参与音视频产品的技术难点攻坚和前沿技术预研。 ,Null,
Android实习生,涂鸦智能,https://www.nowcoder.com/intern/49168?jobIds=47637&ncsr=,¥薪酬面议,杭州,简历处理率：75%,平均处理：1天,处理快,研发,薪酬：面议  |  实习要求：4天/周，3个月以上  |  转正机会：有, 岗位职责 职位描述 1.参与开发与维护Android客户端产品； 2.熟悉整个项目的开发平台，参与优化与维护； 3.整理文档与规范； ,Null,
Java开发实习生（SaaS方向）,涂鸦智能,https://www.nowcoder.com/intern/49168?jobIds=48418&ncsr=,¥薪酬面议,杭州,简历处理率：100%,平均处理：2天,处理快,研发,薪酬：面议  |  实习要求：4天/周，3个月以上  |  转正机会：有, 岗位职责 岗位职责： 1.参与IoT物联网SaaS平台的设计与研发； 2.理解业务需求，协助分析和发现系统瓶颈，推动系统性能的提高。 ,Null,
创新研究院-软硬件一体化组-软件开发工程师,深信服,https://www.nowcoder.com/intern/52485?jobIds=49793&ncsr=,¥薪酬面议,深圳,简历处理率：100%,平均处理：1天,处理快,研发,薪酬：面议  |  实习要求：5天/周，3个月以上  |  转正机会：有, 岗位职责 1、探索协处理器（如GPU、AI推理芯片等）在云计算场景中的应用；  2、完成软件功能模块划分，算法流程设计；  3、负责协处理器在云计算场景下的功能验证、软件开发与性能优化；  4、编写开发设计文档、测试文档与使用文档等； ,Null,
安全研究实习生,深信服,https://www.nowcoder.com/intern/46494?jobIds=41404&ncsr=,¥150-200元/天,深圳,简历处理率：76%,平均处理：4天,Null,研发,薪资：150-200元/天  |  实习要求：5天/周，2个月以上  |  转正机会：有, 岗位职责 1、深入某个安全方向进行研究并产出研究文档。 2、熟练使用公司安全产品，整理产品安全知识库。 ,Null,
后端开发工程师,深信服,https://www.nowcoder.com/intern/52550?jobIds=49988&ncsr=,¥薪酬面议,深圳 长沙,简历处理率：-,平均处理：-,Null,研发,薪酬：面议  |  实习要求：5天/周，5个月以上  |  转正机会：有, 岗位职责 负责云计算相关后台研发工作 ,Null,
猿辅导课程体验-客户端实习生,猿辅导,https://www.nowcoder.com/intern/50209?jobIds=47379&ncsr=,¥800-1000元/天,北京,简历处理率：100%,平均处理：1天,处理快,研发,薪资：800-1000元/天  |  实习要求：4天/周，3个月以上  |  转正机会：有, 岗位职责 岗位介绍  1. 参与猿辅导课程体验前端开发工作；  2. 参与新技术研究和落地工作。    任职要求  1. 2022届及之后的毕业生，计算机相关专业本科及以上学历；  2. 良好的数据结构和算法基础，优秀的编码能力；  3. 至少掌握 Java/C++/C#/Objective-C/Swift 中的一种；  4. 有 iOS/Android/Windows平台开发经验者优先；  5. 日常实习或者暑期实习均可，每周出勤不少于3天，能长期实习者优先。    福利待遇  1. 超高日薪：日薪600元，每周实习4天及以上，会有200元/天的全勤奖，即日薪800元；  2. 导师帮带：部门金牌导师一对一帮带，让你实习有所收获、有所成长；  3. 快速成长：接触有挑战性的项目，在项目中不断精进技术；  4. 福利多多：每日40元餐费补贴，每月120元团建补贴，全天零食饮料无限量供应，免费使用公司签约的健身房等；  5. 直通秋招：转正名额多多（实习转正优先）；实习面试不通过，不影响秋招流程。    ﻿招聘流程  简历筛选﻿-初试-复试-HR面试-offer﻿ ,Null,
